anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,competencia,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,municipio_hecho,latitud,longitud
2019,Junio,2019-06-25,00:00:00,2019.0,Febrero,2019-02-15,12:12:00,FRAUDE,DELITO DE BAJO IMPACTO,,INVESTIGACIÓN EN IZTAPALAPA,IZP-8,UI-2CD,GUADALUPE,Barrio Guadalupe,IZTAPALAPA,,CDMX,19.31116,-99.0722
2019,Junio,2019-06-25,00:00:00,2019.0,Junio,2019-06-25,15:50:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,,INVESTIGACIÓN EN MIGUEL HIDALGO,MH-4,UI-2SD,SAN MIGUEL CHAPULTEPEC,San Miguel Chapultepec Ii Seccion,MIGUEL HIDALGO,,CDMX,19.41388,-99.18456
2019,Junio,2019-06-25,00:00:00,2019.0,Junio,2019-06-24,14:00:00,"PRODUCCIÓN, IMPRESIÓN, ENAJENACIÓN, DISTRIBUCIÓN, ALTERACIÓN O FALSIFICACIÓN DE TÍTULOS AL PORTADOR, DOCUMENTOS DE CRÉDITO PÚBLICOS O VALES DE CANJE",DELITO DE BAJO IMPACTO,,INVESTIGACIÓN EN MIGUEL HIDALGO,MH-1,UI-1SD,LOS MANZANOS,Mariano Escobedo,MIGUEL HIDALGO,,CDMX,19.44417,-99.18291
2021,Mayo,2021-05-07,00:00:00,2020.0,Junio,2020-06-25,09:00:00,ROBO DE OBJETOS A ESCUELA,DELITO DE BAJO IMPACTO,FUERO COMUN,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN BENITO JUÁREZ,UAT-BJ-1,1 SIN DETENIDO,NATIVITAS,Nativitas,BENITO JUAREZ,,CDMX,19.37832,-99.14019
2021,Mayo,2021-05-07,00:00:00,2020.0,Marzo,2020-03-10,12:00:00,LA ADMINISTRACION DE JUSTICIA,DELITO DE BAJO IMPACTO,FUERO COMUN,FISCALÍA PARA LA INVESTIGACIÓN DE LOS DELITOS COMETIDOS POR SERVIDORES PÚBLICOS,B,UI-3CD,,,TLAHUAC,,CDMX,,
2021,Mayo,2021-05-07,00:00:00,2021.0,Mayo,2021-05-06,12:55:00,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,FUERO COMUN,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN IZTAPALAPA,IZP-8,UI-3CD,MIXCOATL,Mixcoatl,IZTAPALAPA,,CDMX,19.32398,-99.04796
2021,Mayo,2021-05-07,00:00:00,2021.0,Mayo,2021-05-07,11:35:00,NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,FUERO COMUN,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-3,UI-3CD,PUNTA DE CEHUAYA,Pueblo Santa Lucia Chantepec,ALVARO OBREGON,,CDMX,19.35931,-99.23913
2021,Mayo,2021-05-07,00:00:00,2021.0,Abril,2021-04-22,12:30:00,AMENAZAS,DELITO DE BAJO IMPACTO,FUERO COMUN,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN VENUSTIANO CARRANZA,ADD-VC-3,UI-1SD,AVIACIÓN CIVIL,Aviacion Civil,VENUSTIANO CARRANZA,,CDMX,19.41321,-99.07949
2021,Mayo,2021-05-07,00:00:00,2021.0,Febrero,2021-02-17,10:00:00,DAÑO EN PROPIEDAD AJENA INTENCIONAL,DELITO DE BAJO IMPACTO,FUERO COMUN,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN XOCHIMILCO,XO-1,UI-1SD,SANTA CRUZ ACALPIXCA - PUEBLO,Barrio Caltongo,XOCHIMILCO,,CDMX,19.25446,-99.08105
2021,Mayo,2021-05-07,00:00:00,2021.0,Mayo,2021-05-05,19:50:00,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,FUERO COMUN,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-4,UI-3SD,PALO ALTO,Campestre Palo Alto,CUAJIMALPA DE MORELOS,,CDMX,19.38055,-99.25572
2021,Mayo,2021-05-07,00:00:00,2019.0,Febrero,2019-02-10,12:00:00,FRAUDE,DELITO DE BAJO IMPACTO,FUERO COMUN,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,UI-3CD,VILLA HERMOSA,Villa Hermosa,GUSTAVO A. MADERO,,CDMX,19.50146,-99.09139
2021,Mayo,2021-05-07,00:00:00,2021.0,Abril,2021-04-23,12:00:00,FRAUDE,DELITO DE BAJO IMPACTO,FUERO COMUN,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MIGUEL HIDALGO,MH-3,UI-1SD,LOMAS DE CHAPULTEPEC I SECCIÓN,Lomas De Chapultepec V Seccion,MIGUEL HIDALGO,,CDMX,19.42493,-99.2152
2021,Mayo,2021-05-07,00:00:00,2021.0,Mayo,2021-05-02,14:30:00,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,FUERO COMUN,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,CUH-2,UI-3SD,BUENAVISTA,Buenavista,CUAUHTEMOC,,CDMX,19.44373,-99.15419
2021,Mayo,2021-05-07,00:00:00,2021.0,Mayo,2021-05-07,11:45:00,NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,FUERO COMUN,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-3,UI-3CD,PUNTA DE CEHUAYA,Pueblo Santa Lucia Chantepec,ALVARO OBREGON,,CDMX,19.36039,-99.23994
